,zip,city,state,latitude,longitude,timezone,dst
109,741,Punta Santiago,PR,18.160755,-65.75765,-4,0
110,742,Roosevelt Roads,PR,18.264872,-65.59477,-4,0
111,744,Rio Blanco,PR,18.20633,-65.74306,-4,0
112,745,Rio Grande,PR,18.366213,-65.82277,-4,0
113,747,Lluveras,PR,18.069473,-66.95259,-4,0
114,748,Fajardo,PR,18.326733,-65.65248,-4,0
115,751,Salinas,PR,17.993803,-66.26534,-4,0
116,752,San Antonio,PR,18.493746,-67.097725,-4,0
117,754,San Lorenzo,PR,18.15633,-65.96831,-4,0
118,757,Santa Isabel,PR,17.98631,-66.39457,-4,0
119,761,Utuado,PR,18.265446,-66.70236,-4,0
120,762,Vega Alta,PR,18.420218,-66.32429,-4,0
121,763,Monserrate,PR,18.452175,-66.39983,-4,0
122,764,Vega Baja,PR,18.452084,-66.39714,-4,0
123,765,Vieques,PR,18.125664,-65.45603,-4,0
124,766,Villalba,PR,18.126022,-66.48208,-4,0
125,767,Yabucoa,PR,18.072752,-65.89703,-4,0
126,768,Yauco,PR,18.030716,-66.85618,-4,0
127,769,Coamo,PR,18.092813,-66.3611,-4,0
128,771,Las Piedras,PR,18.18744,-65.87088,-4,0
129,772,Loiza,PR,18.427673,-65.87605,-4,0
130,773,Luquillo,PR,18.361343,-65.72133,-4,0
131,775,Culebra,PR,18.31115,-65.29257,-4,0
132,777,Juncos,PR,18.224089,-65.91316,-4,0
133,778,Gurabo,PR,18.258629,-65.97791,-4,0
134,780,Coto Laurel,PR,18.068539,-66.55939,-4,0
135,782,Comerio,PR,18.223349,-66.2267,-4,0
136,783,Corozal,PR,18.304874,-66.32305,-4,0
137,784,Guayama,PR,17.984137,-66.12779,-4,0
138,785,Guayama,PR,18.018822,-66.7956,-4,0
139,786,La Plata,PR,18.128092,-66.268715,-4,0
140,791,Humacao,PR,18.147257,-65.82269,-4,0
141,792,Humacao,PR,18.13803,-65.7885,-4,0
142,794,Barranquitas,PR,18.204294,-66.31058,-4,0
143,795,Juana Diaz,PR,18.036253,-66.50289,-4,0
144,801,St Thomas,VI,18.322285,-64.963715,-4,0
145,802,St Thomas,VI,18.322285,-64.963715,-4,0
146,803,St Thomas,VI,18.322285,-64.963715,-4,0
147,804,St Thomas,VI,18.322285,-64.963715,-4,0
148,805,St Thomas,VI,18.322285,-64.963715,-4,0
149,820,Christiansted,VI,17.734211,-64.734695,-4,0
150,821,Christiansted,VI,17.734211,-64.734695,-4,0
151,822,Christiansted,VI,17.734211,-64.734695,-4,0
152,823,Christiansted,VI,17.734211,-64.734695,-4,0
153,824,Christiansted,VI,17.734211,-64.734695,-4,0
154,830,St John,VI,18.32816,-64.74074,-4,0
155,831,St John,VI,18.32816,-64.74074,-4,0
156,840,Frederiksted,VI,17.734211,-64.734695,-4,0
157,841,Frederiksted,VI,17.734211,-64.734695,-4,0
158,850,Kingshill,VI,17.734211,-64.734695,-4,0
159,851,Kingshill,VI,17.734211,-64.734695,-4,0
160,901,San Juan,PR,18.465425,-66.10786,-4,0
161,902,San Juan,PR,18.410461,-66.06053,-4,0
162,906,San Juan,PR,18.46454,-66.10079,-4,0
163,907,San Juan,PR,18.451132,-66.07798,-4,0
164,908,San Juan,PR,18.410461,-66.06053,-4,0
165,909,San Juan,PR,18.442282,-66.06764,-4,0
